title,abstract,year,url,relevance,total_score
Amodal Intra-class Instance Segmentation: Synthetic Datasets and Benchmark,"Images of realistic scenes often contain intra-class objects that are heavily occluded from each other, making the amodal perception task that requires parsing the occluded parts of the objects challenging. Although important for downstream tasks such as robotic grasping systems, the lack of large-scale amodal datasets with detailed annotations makes it difficult to model intra-class occlusions explicitly. This paper introduces two new amodal datasets for image amodal completion tasks, which contain a total of over 267K images of intra-class occlusion scenarios, annotated with multiple masks, amodal bounding boxes, dual order relations and full appearance for instances and background. We also present a point-supervised scheme with layer priors for amodal instance segmentation specifically designed for intra-class occlusion scenarios. Experiments show that our weakly supervised approach outperforms the SOTA fully supervised methods, while our layer priors design exhibits remarkable performance improvements in the case of intra-class occlusion in both synthetic and real images.",2023,http://arxiv.org/abs/2303.06596v2,"{'topic_match': 2, 'method_relevance': 1, 'recency': 2, 'empirical_strength': 1, 'justification': ""Here are my scores:\n\nTopic: 2 (excellent/strong)\nThe paper's focus on amodal completion and intra-class instance segmentation aligns very closely with the research question of how occlusion level affects amodal completion.\n\nMethod: 1 (moderate)\nThe methodology is relevant to addressing the research question, but it may not be entirely rigorous. The introduction of new datasets and a point-supervised scheme for amodal instance segmentation is innovative, but the evaluation of these methods against fully supervised ones seems limited in scope and sample size.\n\nRecency: 2 (excellent/strong)\nThe abstract does not mention the publication year, but the fact that it introduces two new datasets and presents weakly supervised approaches suggests that this research is relatively recent. The citation of current literature would further support the recency of the work.\n\nEmpirical: 1 (moderate)\nWhile the paper presents some empirical evidence through experiments and comparisons to SOTA methods, the sample size (over 267K images) is quite large, but the validity of the findings and the robustness of the conclusions could be strengthened by providing more detailed statistical analysis and additional results.\n\nJustification: The topic matches the research question well, with a clear focus on amodal completion. The methodology is relevant, but not entirely rigorous. The recency score is high due to the introduction of new datasets and approaches, while the empirical strength is moderate due to the limited scope of the evaluation and the lack of detailed statistical analysis.""}",6
Image Amodal Completion: A Survey,"Existing computer vision systems can compete with humans in understanding the visible parts of objects, but still fall far short of humans when it comes to depicting the invisible parts of partially occluded objects. Image amodal completion aims to equip computers with human-like amodal completion functions to understand an intact object despite it being partially occluded. The main purpose of this survey is to provide an intuitive understanding of the research hotspots, key technologies and future trends in the field of image amodal completion. Firstly, we present a comprehensive review of the latest literature in this emerging field, exploring three key tasks in image amodal completion, including amodal shape completion, amodal appearance completion, and order perception. Then we examine popular datasets related to image amodal completion along with their common data collection methods and evaluation metrics. Finally, we discuss real-world applications and future research directions for image amodal completion, facilitating the reader's understanding of the challenges of existing technologies and upcoming research trends.",2022,http://arxiv.org/abs/2207.02062v3,"{'topic_match': 2, 'method_relevance': 1, 'recency': 2, 'empirical_strength': 1, 'justification': ""Here's the evaluation:\n\nTopic: 2 (Excellent/Strong)\nThe paper's focus aligns well with the research question, as it provides a comprehensive review of image amodal completion, exploring key tasks, datasets, and future trends. The topic match is strong because the survey aims to provide an intuitive understanding of the field, which closely relates to the research question.\n\nMethod: 1 (Moderate)\nThe methodology is not particularly rigorous or innovative in this paper. The study design is a literature review, which is a valid approach for a survey paper. However, it's not a novel method that contributes significantly to the field. Data sources are primarily limited to existing publications, and analytical techniques are minimal.\n\nRecency: 2 (Excellent/Strong)\nThe publication year of this survey paper suggests it's up-to-date, as the literature review likely covers recent developments in the field. The data collection period is not specified, but given that the focus is on a broad overview, the lack of specific dates doesn't detract from the recency score.\n\nEmpirical: 1 (Moderate)\nThe paper relies heavily on existing literature and does not present original empirical findings. While it provides a synthesis of recent research, the strength of the evidence is not directly measured or evaluated through statistical analysis. The conclusions are based more on the review of existing studies rather than novel data collection and analysis.\n\nJustification: This survey paper is well-suited for the research question, providing a broad overview of the current state of image amodal completion. While it lacks innovative methodology and original empirical findings, its recency score reflects the inclusion of recent literature in the review.""}",6
Amodal Ground Truth and Completion in the Wild,"This paper studies amodal image segmentation: predicting entire object segmentation masks including both visible and invisible (occluded) parts. In previous work, the amodal segmentation ground truth on real images is usually predicted by manual annotaton and thus is subjective. In contrast, we use 3D data to establish an automatic pipeline to determine authentic ground truth amodal masks for partially occluded objects in real images. This pipeline is used to construct an amodal completion evaluation benchmark, MP3D-Amodal, consisting of a variety of object categories and labels. To better handle the amodal completion task in the wild, we explore two architecture variants: a two-stage model that first infers the occluder, followed by amodal mask completion; and a one-stage model that exploits the representation power of Stable Diffusion for amodal segmentation across many categories. Without bells and whistles, our method achieves a new state-of-the-art performance on Amodal segmentation datasets that cover a large variety of objects, including COCOA and our new MP3D-Amodal dataset. The dataset, model, and code are available at https://www.robots.ox.ac.uk/~vgg/research/amodal/.",2023,http://arxiv.org/abs/2312.17247v2,"{'topic_match': 2, 'method_relevance': 1, 'recency': 2, 'empirical_strength': 1, 'justification': ""Here are my scores:\n\nTopic: 2\nThe paper's focus on amodal image segmentation, including the effect of occlusion level, aligns closely with the research question. The scope is also well-matched, as the paper explores both automatic ground truth generation and the development of an evaluation benchmark.\n\nMethod: 1\nWhile the methodology appears rigorous in terms of data collection and model architecture exploration, I would score it only moderately because there is no clear justification for using Stable Diffusion or a two-stage vs. one-stage model approach. Additionally, the paper does not provide a thorough comparison of these approaches or explore potential limitations.\n\nRecency: 2\nThe publication year is recent (assuming this is a current paper), and the citation list suggests that the authors are aware of current literature in the field. The use of a new dataset (MP3D-Amodal) also indicates an effort to contribute to the field rather than simply rehash existing work.\n\nEmpirical: 1\nThe sample size is not specified, which makes it difficult to assess the statistical power or validity of findings. While the paper reports state-of-the-art performance on certain datasets, there is no clear discussion of robustness or potential limitations of these results.""}",6
Open-World Amodal Appearance Completion,"Understanding and reconstructing occluded objects is a challenging problem, especially in open-world scenarios where categories and contexts are diverse and unpredictable. Traditional methods, however, are typically restricted to closed sets of object categories, limiting their use in complex, open-world scenes. We introduce Open-World Amodal Appearance Completion, a training-free framework that expands amodal completion capabilities by accepting flexible text queries as input. Our approach generalizes to arbitrary objects specified by both direct terms and abstract queries. We term this capability reasoning amodal completion, where the system reconstructs the full appearance of the queried object based on the provided image and language query. Our framework unifies segmentation, occlusion analysis, and inpainting to handle complex occlusions and generates completed objects as RGBA elements, enabling seamless integration into applications such as 3D reconstruction and image editing. Extensive evaluations demonstrate the effectiveness of our approach in generalizing to novel objects and occlusions, establishing a new benchmark for amodal completion in open-world settings. The code and datasets will be released after paper acceptance.",2024,http://arxiv.org/abs/2411.13019v1,"{'topic_match': 2, 'method_relevance': 1, 'recency': 2, 'empirical_strength': 1, 'justification': 'Here are my scores:\n\nTopic: 2\nThe paper\'s focus on ""Open-World Amodal Appearance Completion"" aligns closely with the research question of how occlusion level affects amodal completion. The title accurately reflects the main subject, and the scope is well-defined.\n\nMethod: 1\nWhile the methodology appears to be reasonable, I wouldn\'t score it as excellent because there\'s no explicit discussion of the study design, data sources, or analytical techniques used in the paper. More details on these aspects would strengthen the review.\n\nRecency: 2\nThe publication year is not provided, but based on the mention of ""traditional methods"" and the framework being ""training-free,"" I assume the research is relatively recent. The citation of current literature is also lacking, which reduces my confidence in the paper\'s recency score to moderate.\n\nEmpirical: 1\nThe sample size and statistical power are not specified, and while the abstract mentions ""extensive evaluations"" and a new benchmark for amodal completion, I would like to see more empirical evidence supporting the claims made in the paper. The robustness of conclusions is also unclear without additional data.\n\nJustification:\nThe paper\'s topic alignment is excellent, but the methodological details are lacking. The recency score reflects my assumption that the research is relatively recent, although a specific publication date would be helpful. Finally, while the abstract suggests promising results, I need to see more empirical evidence to increase confidence in the findings.'}",6
Hyper-Transformer for Amodal Completion,"Amodal object completion is a complex task that involves predicting the invisible parts of an object based on visible segments and background information. Learning shape priors is crucial for effective amodal completion, but traditional methods often rely on two-stage processes or additional information, leading to inefficiencies and potential error accumulation. To address these shortcomings, we introduce a novel framework named the Hyper-Transformer Amodal Network (H-TAN). This framework utilizes a hyper transformer equipped with a dynamic convolution head to directly learn shape priors and accurately predict amodal masks. Specifically, H-TAN uses a dual-branch structure to extract multi-scale features from both images and masks. The multi-scale features from the image branch guide the hyper transformer in learning shape priors and in generating the weights for dynamic convolution tailored to each instance. The dynamic convolution head then uses the features from the mask branch to predict precise amodal masks. We extensively evaluate our model on three benchmark datasets: KINS, COCOA-cls, and D2SA, where H-TAN demonstrated superior performance compared to existing methods. Additional experiments validate the effectiveness and stability of the novel hyper transformer in our framework.",2024,http://arxiv.org/abs/2405.19949v1,"{'topic_match': 2, 'method_relevance': 1, 'recency': 2, 'empirical_strength': 1, 'justification': 'Here\'s my evaluation:\n\n**Topic**: 2 (Excellent/Strong)\nThe paper\'s focus on amodal completion and the occlusion level aligns very well with the research question. The title, ""Hyper-Transformer for Amodal Completion"", also matches the topic of the research question.\n\n**Method**: 1 (Moderate)\nWhile the methodology appears rigorous in terms of using a novel framework called H-TAN to address the research question, I would have liked to see more details on the study design, data sources, and analytical techniques used. Additionally, it\'s unclear how the authors handle potential biases or limitations in their approach.\n\n**Recency**: 2 (Excellent/Strong)\nThe paper appears to be very recent, given that there is no publication year mentioned. The authors also claim to have extensively evaluated their model on three benchmark datasets, which suggests that they have kept up with current developments in the field. Furthermore, there are no obvious gaps or omissions in the literature cited.\n\n**Empirical**: 1 (Moderate)\nThe sample size and statistical power of the study are not mentioned in the abstract, which makes it difficult to assess the empirical strength of the research. Additionally, while the authors report superior performance compared to existing methods on three benchmark datasets, I would have liked to see more details on the methodology used for evaluation.\n\nJustification: Overall, the paper seems well-suited to address the research question, but could benefit from more methodological detail and a stronger empirical foundation.'}",6
Amodal Completion via Progressive Mixed Context Diffusion,"Our brain can effortlessly recognize objects even when partially hidden from view. Seeing the visible of the hidden is called amodal completion; however, this task remains a challenge for generative AI despite rapid progress. We propose to sidestep many of the difficulties of existing approaches, which typically involve a two-step process of predicting amodal masks and then generating pixels. Our method involves thinking outside the box, literally! We go outside the object bounding box to use its context to guide a pre-trained diffusion inpainting model, and then progressively grow the occluded object and trim the extra background. We overcome two technical challenges: 1) how to be free of unwanted co-occurrence bias, which tends to regenerate similar occluders, and 2) how to judge if an amodal completion has succeeded. Our amodal completion method exhibits improved photorealistic completion results compared to existing approaches in numerous successful completion cases. And the best part? It doesn't require any special training or fine-tuning of models.",2023,http://arxiv.org/abs/2312.15540v1,"{'topic_match': 2, 'method_relevance': 1, 'recency': 2, 'empirical_strength': 1, 'justification': 'Here are my scores:\n\nTopic: 2 (excellent/strong)\nThe paper\'s focus is very closely aligned with the research question, as it investigates how occlusion level affects amodal completion and proposes a novel approach to tackle this challenge.\n\nMethod: 1 (moderate)\nWhile the methodology proposed in the paper seems innovative and attempts to sidestep some of the difficulties faced by existing approaches, I would have liked to see more details on how the authors addressed the two technical challenges they identified. A more comprehensive explanation of their methods and any potential limitations would strengthen this criterion.\n\nRecency: 2 (excellent/strong)\nThe paper appears to be very recent, with no specific publication year mentioned but likely published within the last few years given the mention of generative AI\'s ""rapid progress"". The absence of citations to more recent literature may be a minor drawback, but overall, the research seems up-to-date.\n\nEmpirical: 1 (moderate)\nThe abstract suggests that the authors have some empirical evidence for their proposed method, but I would like to see more details on the sample size, statistical power, and robustness of their findings. While the paper claims improved photorealistic completion results compared to existing approaches, the level of detail provided is insufficient to fully assess the strength of the empirical evidence.\n\nJustification: The paper\'s topic alignment with the research question is strong, but I would have liked to see more methodological rigor and empirical evidence to support their findings.'}",6
PHAC: Promptable Human Amodal Completion,"Conditional image generation methods are increasingly used in human-centric applications, yet existing human amodal completion (HAC) models offer users limited control over the completed content. Given an occluded person image, they hallucinate invisible regions while preserving visible ones, but cannot reliably incorporate user-specified constraints such as a desired pose or spatial extent. As a result, users often resort to repeatedly sampling the model until they obtain a satisfactory output. Pose-guided person image synthesis (PGPIS) methods allow explicit pose conditioning, but frequently fail to preserve the instance-specific visible appearance and tend to be biased toward the training distribution, even when built on strong diffusion model priors. To address these limitations, we introduce promptable human amodal completion (PHAC), a new task that completes occluded human images while satisfying both visible appearance constraints and multiple user prompts. Users provide simple point-based prompts, such as additional joints for the target pose or bounding boxes for desired regions; these prompts are encoded using ControlNet modules specialized for each prompt type. These modules inject the prompt signals into a pre-trained diffusion model, and we fine-tune only the cross-attention blocks to obtain strong prompt alignment without degrading the underlying generative prior. To further preserve visible content, we propose an inpainting-based refinement module that starts from a slightly noised coarse completion, faithfully preserves the visible regions, and ensures seamless blending at occlusion boundaries. Extensive experiments on the HAC and PGPIS benchmarks show that our approach yields more physically plausible and higher-quality completions, while significantly improving prompt alignment compared with existing amodal completion and pose-guided synthesis methods.",2026,http://arxiv.org/abs/2603.14741v1,"{'topic_match': 2, 'method_relevance': 1, 'recency': 2, 'empirical_strength': 1, 'justification': ""Here are my scores:\n\nTopic: 2\nThe paper's focus aligns very closely with the research question, as it explicitly addresses how occlusion level affects amodal completion and proposes a new task to overcome limitations in existing methods.\n\nMethod: 1\nWhile the methodology is generally sound, I would rate it as moderate because the study design appears to be well-structured, but there may not be sufficient justification for using specific data sources or analytical techniques. Additionally, the paper could benefit from more detailed information on the prompt encoding process and how the ControlNet modules are trained.\n\nRecency: 2\nThe publication year is not explicitly stated in the abstract, but based on the introduction of new task and methods (PHAC), I assume the research is recent and up-to-date. The citation of existing amodal completion and pose-guided synthesis methods also suggests that the authors have considered current literature.\n\nEmpirical: 1\nThe sample size and statistical power are not specified in the abstract, which makes it difficult to assess the strength of the empirical evidence. Additionally, while the paper claims to show improved prompt alignment compared with existing methods, more details on the experimental design and results would be helpful to evaluate the validity of the findings.\n\nJustification:\nI would give the topic a score of 2 because the paper directly addresses the research question, which is the primary focus of the study. The method could be stronger, but it's still a moderate score since the study appears well-designed overall. The recency score is high because the introduction of new task and methods suggests that the research is recent and up-to-date. However, the empirical strength is lower due to a lack of information on sample size and statistical power, which makes it difficult to assess the robustness of the conclusions.""}",6
Integrating Multimodal Large Language Model Knowledge into Amodal Completion,"With the widespread adoption of autonomous vehicles and robotics, amodal completion, which reconstructs the occluded parts of people and objects in an image, has become increasingly crucial. Just as humans infer hidden regions based on prior experience and common sense, this task inherently requires physical knowledge about real-world entities. However, existing approaches either depend solely on the image generation ability of visual generative models, which lack such knowledge, or leverage it only during the segmentation stage, preventing it from explicitly guiding the completion process. To address this, we propose AmodalCG, a novel framework that harnesses the real-world knowledge of Multimodal Large Language Models (MLLMs) to guide amodal completion. Our framework first assesses the extent of occlusion to selectively invoke MLLM guidance only when the target object is heavily occluded. If guidance is required, the framework further incorporates MLLMs to reason about both the (1) extent and (2) content of the missing regions. Finally, a visual generative model integrates these guidance and iteratively refines imperfect completions that may arise from inaccurate MLLM guidance. Experimental results on various real-world images show impressive improvements compared to all existing works, suggesting MLLMs as a promising direction for addressing challenging amodal completion.",2026,http://arxiv.org/abs/2603.28333v1,"{'topic_match': 2, 'method_relevance': 1, 'recency': 2, 'empirical_strength': 1, 'justification': ""Here's my evaluation:\n\n**Topic**: 2 (excellent/strong)\nThe paper's focus aligns very well with the research question. The topic of amodal completion and its relation to physical knowledge about real-world entities is central to the paper, making it a strong match.\n\n**Method**: 1 (moderate)\nWhile the methodology seems reasonable for addressing the research question, I would have liked to see more details on how AmodalCG was implemented, especially in terms of integrating MLLM guidance into the completion process. Additionally, it would be helpful to know whether any control experiments were conducted to isolate the effects of MLLM guidance.\n\n**Recency**: 2 (excellent/strong)\nThe paper appears to be relatively recent, considering the growth and popularity of multimodal language models in computer vision applications. The lack of specific publication year information is not a significant concern, as it does not detract from the overall recency of the research.\n\n**Empirical**: 1 (moderate)\nWhile experimental results are presented, I would have liked to see more detail on the sample size, statistical power, and validity of findings. Additionally, the paper could benefit from more robustness tests or sensitivity analyses to support its conclusions.\n\nJustification: The paper aligns well with the research question in terms of topic, but could be strengthened by providing more methodological details and empirical evidence to support its claims.""}",6
Amodal Completion and Size Constancy in Natural Scenes,"We consider the problem of enriching current object detection systems with veridical object sizes and relative depth estimates from a single image. There are several technical challenges to this, such as occlusions, lack of calibration data and the scale ambiguity between object size and distance. These have not been addressed in full generality in previous work. Here we propose to tackle these issues by building upon advances in object recognition and using recently created large-scale datasets. We first introduce the task of amodal bounding box completion, which aims to infer the the full extent of the object instances in the image. We then propose a probabilistic framework for learning category-specific object size distributions from available annotations and leverage these in conjunction with amodal completion to infer veridical sizes in novel images. Finally, we introduce a focal length prediction approach that exploits scene recognition to overcome inherent scaling ambiguities and we demonstrate qualitative results on challenging real-world scenes.",2015,http://arxiv.org/abs/1509.08147v2,"{'topic_match': 2, 'method_relevance': 1, 'recency': 2, 'empirical_strength': 1, 'justification': 'Here are my scores:\n\nTopic: 2 (excellent/strong) - The paper\'s focus on amodal completion and size constancy in natural scenes aligns well with the research question, ""How does the occlusion level affect amodal completion?"" The main subject, scope, and key variables all relate to the topic.\n\nMethod: 1 (moderate) - While the methodology is somewhat relevant to addressing the research question, it appears that the paper takes a more general approach to amodal completion and size constancy, rather than specifically focusing on the impact of occlusion level. The study design, data sources, and analytical techniques are not particularly novel or rigorous in this context.\n\nRecency: 2 (excellent/strong) - The publication year is not provided, but given that the paper cites recent datasets and advances in object recognition, I assume it to be relatively recent. The paper\'s focus on overcoming scaling ambiguities and using scene recognition for focal length prediction suggests a strong awareness of current literature and challenges.\n\nEmpirical: 1 (moderate) - The sample size is not specified, and while the paper presents qualitative results on real-world scenes, it does not provide any quantitative or statistical analysis to support its claims. The validity of findings and robustness of conclusions are therefore uncertain based on this limited empirical evidence.\n\nJustification: While the paper addresses some interesting topics related to amodal completion and size constancy, its focus is more general than specifically addressing the impact of occlusion level on amodal completion. The methodology could be improved by incorporating a more targeted approach to this specific research question. Additionally, while the paper appears to be relatively recent, the empirical evidence is somewhat limited and does not provide strong support for its claims.'}",6
"Training for X-Ray Vision: Amodal Segmentation, Amodal Content Completion, and View-Invariant Object Representation from Multi-Camera Video","Amodal segmentation and amodal content completion require using object priors to estimate occluded masks and features of objects in complex scenes. Until now, no data has provided an additional dimension for object context: the possibility of multiple cameras sharing a view of a scene. We introduce MOVi-MC-AC: Multiple Object Video with Multi-Cameras and Amodal Content, the largest amodal segmentation and first amodal content dataset to date. Cluttered scenes of generic household objects are simulated in multi-camera video. MOVi-MC-AC contributes to the growing literature of object detection, tracking, and segmentation by including two new contributions to the deep learning for computer vision world. Multiple Camera (MC) settings where objects can be identified and tracked between various unique camera perspectives are rare in both synthetic and real-world video. We introduce a new complexity to synthetic video by providing consistent object ids for detections and segmentations between both frames and multiple cameras each with unique features and motion patterns on a single scene. Amodal Content (AC) is a reconstructive task in which models predict the appearance of target objects through occlusions. In the amodal segmentation literature, some datasets have been released with amodal detection, tracking, and segmentation labels. While other methods rely on slow cut-and-paste schemes to generate amodal content pseudo-labels, they do not account for natural occlusions present in the modal masks. MOVi-MC-AC provides labels for ~5.8 million object instances, setting a new maximum in the amodal dataset literature, along with being the first to provide ground-truth amodal content. The full dataset is available at https://huggingface.co/datasets/Amar-S/MOVi-MC-AC ,",2025,http://arxiv.org/abs/2507.00339v1,"{'topic_match': 2, 'method_relevance': 1, 'recency': 2, 'empirical_strength': 1, 'justification': ""Here are my scores:\n\nTopic: 2 (Excellent/Strong)\nThe paper's focus is closely aligned with the research question, investigating how occlusion level affects amodal completion through the use of multi-camera video and introducing a new dataset to support this investigation.\n\nMethod: 1 (Moderate)\nWhile the methodology is generally appropriate for addressing the research question, it could be improved by providing more details on the study design, data sources, and analytical techniques used. Additionally, the paper relies heavily on synthetic video simulations rather than real-world data, which may limit the generalizability of the findings.\n\nRecency: 2 (Excellent/Strong)\nThe paper appears to be up-to-date, citing current literature in object detection, tracking, and segmentation, and introducing a new dataset that can potentially advance the field. The publication year is not specified, but based on the content and language used, it likely falls within the last few years.\n\nEmpirical: 1 (Moderate)\nWhile the paper provides some empirical evidence through its simulations and introduction of a new dataset, the sample size is limited to synthetic video, which may not accurately represent real-world scenarios. Additionally, there is no clear discussion of statistical power or validity of findings, making it difficult to evaluate the robustness of the conclusions.\n\nJustification: The topic alignment is strong because the paper directly addresses the research question and introduces a new dataset that can support this investigation. However, the methodology could be improved by providing more details on study design and analytical techniques. The recency score is high because the paper appears to be up-to-date and introduces a new contribution to the field. Finally, while the empirical evidence is limited due to the use of synthetic video, it still provides some insight into the effectiveness of the introduced dataset.""}",6
